X,Y,CCN,ADDRESS,DATE_OF_OFFENSE,TIME_OF_OFFENSE,DATE_OFFENSE_RECORDED,REPORT_YEAR,MONTH,POLICE_DISTRICT,WARD,TYPE_OF_HATE_BIAS,TARGETED_GROUP,TOP_OFFENSE_TYPE,MAR_ID,MAR_XCOORD,MAR_YCOORD,MAR_LATITUDE,MAR_LONGITUDE,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,OBJECTID,SE_ANNO_CAD_DATA
-8573928.98170085,4707331.74621241,13128491,600 block of H St NW,2013/09/08 04:00:00+00,1555-1559,2013/09/08 04:00:00+00,2013,9,1D,Ward 2,Race,Asian,Simple Assault,807858,398185.99,136884.63,38.89981191,-77.0209122,,,MPD,2024/02/16 21:02:52+00,7438,
-8571991.88318568,4709830.12125829,13131421,2000 block of 2nd St NE,2013/09/14 04:00:00+00,0150,2013/09/14 04:00:00+00,2013,9,5D,Ward 5,Sexual Orientation,,Simple Assault,806269,399695.52,138823.1,38.91727614,-77.00351095,,,MPD,2024/02/16 21:02:52+00,7439,
-8577378.87664313,4710820.76959092,13133719,2600 block of Connecticut Ave NW,2013/09/17 04:00:00+00,13-133719,2013/09/17 04:00:00+00,2013,9,2D,Ward 3,Religion,Jewish,Damage/Defacing/Destruction of Property,807493,395499.25,139592.96,38.92419981,-77.05190312,,,MPD,2024/02/16 21:02:52+00,7440,
-8570770.86605397,4701413.24335278,13145014,2600 block of Stanton Rd SE,2013/10/08 04:00:00+00,2230-2238,2013/10/08 04:00:00+00,2013,10,7D,Ward 8,Sexual Orientation,,Robbery,811275,400647.28,132289.97,38.85842305,-76.99254238,,,MPD,2024/02/16 21:02:52+00,7441,
-8563320.84941696,4704762.4620818,13149438,5300 block of E St SE,2013/10/17 04:00:00+00,1643,2013/10/17 04:00:00+00,2013,10,6D,Ward 7,Sexual Orientation,,Damage/Defacing/Destruction of Property,815121,406453.84419594,134892.86447461,38.88184753,-76.92561776,,,MPD,2024/02/16 21:02:52+00,7442,
-8574488.58478459,4711200.52514701,13150239,Harvard St NW and Sherman Ave NW,2013/10/19 04:00:00+00,0030,2013/10/19 04:00:00+00,2013,10,3D,Ward 1,Sexual Orientation,,ADW,905903,397750.78066787,139886.61049525,38.92685376,-77.0259392,,,MPD,2024/02/16 21:02:52+00,7443,
-8570586.56947264,4704858.62123293,13155414,1100 block of Pennsylvania Ave SE,2013/10/26 04:00:00+00,1500,2013/10/26 04:00:00+00,2013,10,1D,Ward 6,Gender Identity/Expression,,Simple Assault,800670,400790.70681469,134964.91916268,38.88251996,-76.99088681,,,MPD,2024/02/16 21:02:52+00,7444,
-8574041.06578401,4707779.02896913,13154097,7th St NW and Mount Vernon Pl NW,2013/10/26 04:00:00+00,0228,2013/10/26 04:00:00+00,2013,10,3D,Ward 6,Gender Identity/Expression,,Simple Assault,904395,398098.73350019,137231.76447678,38.90293884,-77.02191907,,,MPD,2024/02/16 21:02:52+00,7445,
-8575664.03594209,4710023.77825764,13180758,2100 block of 16th St NW,2013/12/18 05:00:00+00,1951,2013/12/18 05:00:00+00,2013,12,3D,Ward 1,Race,Black,Simple Assault,805292,396834.81,138973.98,38.91862967,-77.03649845,,,MPD,2024/02/16 21:02:52+00,7446,
-8571569.50494736,4697781.89099155,13180997,400 block of Xenia St SE,2013/12/19 05:00:00+00,0815-0820,2013/12/19 05:00:00+00,2013,12,7D,Ward 8,Race,Unspecified,ADW,801020,400024.6,129469.65,38.8330166,-76.99971667,,,MPD,2024/02/16 21:02:52+00,7447,
-8568412.19251935,4700446.29268647,14001090,2400 block of Alabama Ave SE,2014/01/03 05:00:00+00,0242,2014/01/01 05:00:00+00,2014,1,7D,Ward 8,Sexual Orientation,,Robbery,806892,402486.54336026,131539.4476395,38.85165875,-76.97135406,,,MPD,2024/02/16 21:02:52+00,7448,
-8572419.17707086,4715126.1506229,14012327,5300 block of RockCreek Church Rd NE,2014/01/26 05:00:00+00,0129-0140,2014/01/26 05:00:00+00,2014,1,4D,Ward 5,Sexual Orientation,,Simple Assault,812346,399362.97,142931.14,38.95428241,-77.0073494,,,MPD,2024/02/16 21:02:52+00,7449,
-8571174.83752382,4705981.28321445,14016376,Unit block of 7th St NE,2014/02/03 05:00:00+00,1525-1558,2014/02/03 05:00:00+00,2014,2,1D,Ward 6,Political Affiliation,,Threats,808382,400332.16,135836.31,38.89037007,-76.99617131,,,MPD,2024/02/16 21:02:52+00,7450,
-8579604.45461637,4710584.1331434,14017169,3600 block of Calvert St NW,2014/02/04 05:00:00+00,0900-1200,2014/02/04 05:00:00+00,2014,2,2D,Ward 3,Sexual Orientation,,Damage/Defacing/Destruction of Property,804152,393765.45,139410.55,38.92254601,-77.07189583,,,MPD,2024/02/16 21:02:52+00,7451,
-8573247.05833011,4706705.96123973,14018072,400 block of 2nd St NW,2014/02/07 05:00:00+00,0650-0653,2014/02/07 05:00:00+00,2014,2,1D,Ward 6,Gender Identity/Expression,,Simple Assault,279729,398717.29,136398.86,38.89543686,-77.01478638,,,MPD,2024/02/16 21:02:52+00,7452,
-8576087.05540966,4707964.86300479,14020570,1100 block of Connecticut Ave NW,2014/02/12 05:00:00+00,1000-1005,2014/02/12 05:00:00+00,2014,2,2D,Ward 2,Sexual Orientation,,Simple Assault,807498,396504.56,137376.52,38.90423795,-77.0402985,,,MPD,2024/02/16 21:02:52+00,7453,
-8572780.48478806,4710559.29758316,14023245,Unit block of Channing St NW,2014/02/18 05:00:00+00,2135-2140,2014/02/18 05:00:00+00,2014,2,3D,Ward 5,Sexual Orientation,,Threats,811709,399081.23,139388.88,38.92237244,-77.01059508,,,MPD,2024/02/16 21:02:52+00,7454,
-8576455.35186071,4708778.76401154,14024251,1300 block of Connecticut Ave NW,2014/02/20 05:00:00+00,2233,2014/02/20 05:00:00+00,2014,2,2D,Ward 2,Religion,Muslim,Damage/Defacing/Destruction of Property,800193,396217.89,138008.23,38.90992743,-77.04360696,,,MPD,2024/02/16 21:02:52+00,7455,
-8577324.70359956,4707784.55174942,14024321,24th St NW and Pennsylvania Ave NW,2014/02/21 05:00:00+00,0150-0154,2014/02/21 05:00:00+00,2014,2,2D,Ward 2,Sexual Orientation,,Simple Assault,900099,395540.12207381,137237.07820479,38.90297745,-77.05141648,,,MPD,2024/02/16 21:02:52+00,7456,
-8573220.31222128,4713395.11622778,14025713,200 block of Upshur St NW,2014/02/23 05:00:00+00,1700-1711,2014/02/23 05:00:00+00,2014,2,4D,Ward 4,Disability,,Simple Assault,800327,398738.96,141588.72,38.94218884,-77.01454612,,,MPD,2024/02/16 21:02:52+00,7681,
-8571330.19458357,4701749.05425069,14027299,1100 block of Summer Rd SE,2014/02/26 05:00:00+00,2019,2014/02/26 05:00:00+00,2014,2,7D,Ward 8,Sexual Orientation,,Simple Assault,809887,400211.17174215,132550.70396044,38.86077206,-76.99756691,,,MPD,2024/02/16 21:02:52+00,7682,
-8576071.39381511,4714283.85458929,14029582,4700 block of Blagden Terrace NW,2014/03/03 05:00:00+00,1700,2014/03/03 05:00:00+00,2014,3,4D,Ward 4,Sexual Orientation,,Sexual Abuse,807557,396518.92,142278.67,38.94839812,-77.04015781,,,MPD,2024/02/16 21:02:52+00,7683,
-8574712.40790296,4716228.0499591,14036236,5900 block of Georgia Ave NW,2014/03/16 04:00:00+00,1601-1615,2014/03/16 04:00:00+00,2014,3,4D,Ward 4,Sexual Orientation,,Simple Assault,816437,397577.63,143785.94,38.96197956,-77.02794983,,,MPD,2024/02/16 21:02:52+00,7684,
-8569796.31058268,4699759.15746426,14037147,1400 block of Congress Pl SE,2014/03/18 04:00:00+00,1920-1929,2014/03/18 04:00:00+00,2014,3,7D,Ward 8,Gender Identity/Expression,,Threats,801783,401407.35657526,131005.544375,38.8468515,-76.9837878,,,MPD,2024/02/16 21:02:52+00,7685,
-8563587.40573136,4704708.86678181,14051643,5200 block of F St SE,2014/04/14 04:00:00+00,1845-1850,2014/04/14 04:00:00+00,2014,4,6D,Ward 7,Gender Identity/Expression,,ADW,810329,406246.11472375,134851.09394657,38.88147275,-76.92801227,,,MPD,2024/02/16 21:02:52+00,7686,
-8571271.36478226,4712052.51427367,14052101,600 block of Michigan Ave NE,2014/04/15 04:00:00+00,1455-1500,2014/04/15 04:00:00+00,2014,4,5D,Ward 5,Gender Identity/Expression,,Robbery,814865,400256.78,140547.22,38.93280757,-76.99703843,,,MPD,2024/02/16 21:02:52+00,7687,
-8576036.92450229,4709791.18674162,14054249,1700 block of U St NW,2014/04/19 04:00:00+00,1900-1901,2014/04/19 04:00:00+00,2014,4,3D,Ward 1/Ward 2,Sexual Orientation,,Simple Assault,808175,396544.24,138793.64,38.91700401,-77.03984817,,,MPD,2024/10/08 19:01:28+00,7688,
-8577367.32625899,4707079.49391013,14055712,2400 block of Virginia Ave NW,2014/04/22 04:00:00+00,1725,2014/04/22 04:00:00+00,2014,4,2D,Ward 2,Homelessness,,Simple Assault,804406,395506.6,136689.93,38.89804837,-77.05179937,,,MPD,2024/02/16 21:02:52+00,7689,
-8575251.59668574,4707719.51212287,14067414,1400 block of K St NW,2014/05/12 04:00:00+00,1700-1910,2014/05/13 04:00:00+00,2014,5,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,805270,397155.47,137185.86,38.90252277,-77.03279345,,,MPD,2024/02/16 21:02:52+00,7690,
-8575245.15152512,4711880.65424273,14068447,3400 block of 14th St NW,2014/05/15 04:00:00+00,0150-0153,2014/05/15 04:00:00+00,2014,5,4D,Ward 1,Gender Identity/Expression,,ADW,805082,397161.65,140414.41,38.93160663,-77.03273555,,,MPD,2024/02/16 21:02:52+00,7691,
-8577533.94776956,4708250.37784088,14073281,1200 block of 25th St NW,2014/05/23 04:00:00+00,0439,2014/05/23 04:00:00+00,2014,5,2D,Ward 2,Race,White,Damage/Defacing/Destruction of Property,800476,395377.29,137598.66,38.90623386,-77.05329615,,,MPD,2024/02/16 21:02:52+00,7692,
-8572410.69720829,4696657.9455722,14074002,Unit block of Forrester St SW,2014/05/24 04:00:00+00,1248,2014/05/24 04:00:00+00,2014,5,7D,Ward 8,Sexual Orientation,,Simple Assault,810043,399368.43,128596.56,38.82515117,-77.00727323,,,MPD,2024/02/16 21:02:52+00,7693,
-8575028.06118029,4709056.38987916,14074059,1300 block of Corcoran St NW,2014/05/24 04:00:00+00,1520-1522,2014/05/24 04:00:00+00,2014,5,3D,Ward 2,Race,Black,Damage/Defacing/Destruction of Property,811946,397330,138223.2,38.91186803,-77.0307854,,,MPD,2024/02/16 21:02:52+00,7694,
-8569541.74720559,4702677.4636382,14082778,1600 block of T St SE,2014/06/08 04:00:00+00,1500,2014/06/08 04:00:00+00,2014,6,6D,Ward 8,Sexual Orientation,,Threats,807225,401605.40950344,133271.73055311,38.86726593,-76.98150102,,,MPD,2024/02/16 21:02:52+00,7695,
-8572391.5882133,4705161.49851559,14083820,400 block of New Jersey Ave SE,2014/06/10 04:00:00+00,1342-1722,2014/06/10 04:00:00+00,2014,6,1D,Ward 6,Religion,Muslim,Threats,812200,399383.85,135200.01,38.88463789,-77.00710157,,,MPD,2024/02/16 21:02:52+00,7696,
-8574643.75601482,4714680.61776313,14088758,5000 block of Georgia Ave NW,2014/06/18 04:00:00+00,2335-2338,2014/06/18 04:00:00+00,2014,6,4D,Ward 4,Race,Unspecified,ADW,804988,397630.72,142585.96,38.95116997,-77.02733312,,,MPD,2024/02/16 21:02:52+00,7697,
-8575245.15152512,4711880.65424273,14095037,3400 block of 14th St NW,2014/06/29 04:00:00+00,0226-0233,2014/06/29 04:00:00+00,2014,6,4D,Ward 1,Sexual Orientation,,Threats,805082,397161.65,140414.41,38.93160663,-77.03273555,,,MPD,2024/02/16 21:02:52+00,7698,
-8573554.69639362,4707892.74560257,14096982,400 block of L St NW,2014/07/02 04:00:00+00,1500-1504,2014/07/02 04:00:00+00,2014,7,1D,Ward 6,Sexual Orientation,,Simple Assault,808638,398477.73,137319.93,38.9037338,-77.01754994,,,MPD,2024/02/16 21:02:52+00,7699,
-8574317.08355399,4712648.07696628,14098533,3700 block of Georgia Ave NW,2014/07/05 04:00:00+00,0305-0309,2014/07/05 04:00:00+00,2014,7,4D,Ward 4,Sexual Orientation,,ADW,809816,397884.67,141009.47,38.93696915,-77.02439858,,,MPD,2024/02/16 21:02:52+00,7700,
-8576643.87701525,4708453.10529473,14100355,1300 block of New Hampshire Ave NW,2014/07/08 04:00:00+00,1155,2014/07/08 04:00:00+00,2014,7,2D,Ward 2,Religion,Jewish,Damage/Defacing/Destruction of Property,805753,396070.88,137755.6,38.90765101,-77.04530051,,,MPD,2024/02/16 21:02:52+00,7701,
-8561673.76340957,4706501.68463585,14104831,63rd St NE and Eastern Ave NE,2014/07/16 04:00:00+00,0509,2014/07/16 04:00:00+00,2014,7,6D,Ward 7,Gender Identity/Expression,,Threats,903707,407736.31562113,136243.99081187,38.89400863,-76.91082174,,,MPD,2024/02/16 21:02:52+00,7702,
-8574343.34295541,4709790.09900187,14107657,900 block of U St NW,2014/07/20 04:00:00+00,1844-1845,2014/07/20 04:00:00+00,2014,7,3D,Ward 1,Gender Identity/Expression,,Simple Assault,813703,397863.62,138792.33,38.91699641,-77.02463447,,,MPD,2024/02/16 21:02:52+00,7703,
-8568473.76433753,4699892.15551326,14110263,2200 block of Savannah St SE,2014/07/25 04:00:00+00,0817,2014/07/25 04:00:00+00,2014,7,7D,Ward 8,Gender Identity/Expression,,ADW,811092,402438.66448022,131109.0853991,38.84778199,-76.97190717,,,MPD,2024/02/16 21:02:52+00,7704,
-8565212.56858421,4706273.7326916,14111571,100 block of 42nd St NE,2014/07/27 04:00:00+00,0333,2014/07/27 04:00:00+00,2014,7,6D,Ward 7,Gender Identity/Expression,,Threats,811325,404978.64179457,136064.8548117,38.89241485,-76.94261136,,,MPD,2024/02/16 21:02:52+00,7705,
